Accuracy of xgb 0.787 params {'max_depth': 6, 'learning_rate': '0.320', 'n_estimators': 500, 'min_child_weight': 5, 'gamma': '2.400', 'subsample': '0.500', 'colsample_bytree': '0.400', 'reg_alpha': '4.600', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.800'}
Accuracy of xgb 0.727 params {'max_depth': 18, 'learning_rate': '0.250', 'n_estimators': 1500, 'min_child_weight': 7, 'gamma': '1.600', 'subsample': '0.300', 'colsample_bytree': '0.300', 'reg_alpha': '0.300', 'objective': 'binary:hinge', 'scale_pos_weight': '5.200'}
Accuracy of xgb 0.796 params {'max_depth': 9, 'learning_rate': '0.170', 'n_estimators': 1400, 'min_child_weight': 1, 'gamma': '3.300', 'subsample': '0.400', 'colsample_bytree': '0.600', 'reg_alpha': '1.600', 'objective': 'binary:logitraw', 'scale_pos_weight': '5.700'}
Accuracy of xgb 0.780 params {'max_depth': 6, 'learning_rate': '0.360', 'n_estimators': 500, 'min_child_weight': 16, 'gamma': '0.900', 'subsample': '0.400', 'colsample_bytree': '0.500', 'reg_alpha': '0.500', 'objective': 'binary:logitraw', 'scale_pos_weight': '2.500'}
Accuracy of xgb 0.814 params {'max_depth': 19, 'learning_rate': '0.050', 'n_estimators': 1100, 'min_child_weight': 16, 'gamma': '4.700', 'subsample': '0.600', 'colsample_bytree': '0.700', 'reg_alpha': '0.400', 'objective': 'binary:logitraw', 'scale_pos_weight': '2.900'}
Accuracy of xgb 0.792 params {'max_depth': 2, 'learning_rate': '0.400', 'n_estimators': 500, 'min_child_weight': 7, 'gamma': '2.300', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '0.500', 'objective': 'binary:hinge', 'scale_pos_weight': '5.800'}
Accuracy of xgb 0.789 params {'max_depth': 15, 'learning_rate': '0.390', 'n_estimators': 1300, 'min_child_weight': 17, 'gamma': '3.900', 'subsample': '0.600', 'colsample_bytree': '0.200', 'reg_alpha': '4.800', 'objective': 'binary:logitraw', 'scale_pos_weight': '3.800'}
Accuracy of xgb 0.654 params {'max_depth': 3, 'learning_rate': '0.020', 'n_estimators': 500, 'min_child_weight': 2, 'gamma': '2.400', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '4.300', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.400'}
Accuracy of xgb 0.743 params {'max_depth': 7, 'learning_rate': '0.350', 'n_estimators': 700, 'min_child_weight': 9, 'gamma': '3.000', 'subsample': '0.300', 'colsample_bytree': '0.300', 'reg_alpha': '1.700', 'objective': 'binary:hinge', 'scale_pos_weight': '2.900'}
Accuracy of xgb 0.795 params {'max_depth': 8, 'learning_rate': '0.360', 'n_estimators': 900, 'min_child_weight': 16, 'gamma': '3.400', 'subsample': '0.600', 'colsample_bytree': '0.500', 'reg_alpha': '3.000', 'objective': 'binary:logitraw', 'scale_pos_weight': '1.200'}
Accuracy of xgb 0.777 params {'max_depth': 8, 'learning_rate': '0.390', 'n_estimators': 400, 'min_child_weight': 14, 'gamma': '4.900', 'subsample': '0.500', 'colsample_bytree': '0.300', 'reg_alpha': '1.800', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.600'}
Accuracy of xgb 0.765 params {'max_depth': 17, 'learning_rate': '0.440', 'n_estimators': 900, 'min_child_weight': 1, 'gamma': '1.200', 'subsample': '0.400', 'colsample_bytree': '0.500', 'reg_alpha': '3.600', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.500'}
Accuracy of xgb 0.761 params {'max_depth': 8, 'learning_rate': '0.230', 'n_estimators': 500, 'min_child_weight': 2, 'gamma': '3.800', 'subsample': '0.600', 'colsample_bytree': '0.400', 'reg_alpha': '2.600', 'objective': 'binary:hinge', 'scale_pos_weight': '4.700'}
Accuracy of xgb 0.613 params {'max_depth': 2, 'learning_rate': '0.020', 'n_estimators': 400, 'min_child_weight': 10, 'gamma': '3.300', 'subsample': '0.600', 'colsample_bytree': '0.300', 'reg_alpha': '1.500', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.200'}
